TITLE,RATING,RUNTIME,IMDB_RATING,GENRE,RELEASE_YEAR,DESCRIPTION,DIRECTOR,STARS,VOTES,TYPE
Christmas Eve,Passed,90.0,5.7,"Comedy, Drama",1947.0,"To save her fortune from a designing nephew, Matilda Reed must locate her three long-lost adopted sons in time for a Christmas Eve reunion.",Edwin L. Marin,"George Raft, George Brent, Randolph Scott, Joan Blondell, ",815,Movie
Bachelor Mother,Passed,82.0,7.5,"Comedy, Romance",1939.0,"An unemployed woman discovers an abandoned baby on the steps of an orphanage, and accepts an offer to take responsibility for the child in return for a job.",Garson Kanin,"Ginger Rogers, David Niven, Charles Coburn, Frank Albertson, ","4,465",Movie
My Christmas Fiancé,Not Rated,92.0,4.6,"Comedy, Romance",2022.0,"A part-time student at a resort restaurant in beautiful Italy is hired by her boss to be his fiancée for the holidays, so he can avoid getting married.",Stefano Milla,"Jennifer Freeman, Jack Parr, Jennifer Mischiati, Martina Pace, ",240,Movie
A Christmas Arrangement,TV-14,90.0,5.4,"Comedy, Romance",2018.0,"A flower shop owner enters the local Holiday Floral Show in an effort to win a cash prize to help keep her struggling business afloat, but she starts to fall for one of her direct competitors.",Jake Helgren,"Nicky Whelan, Miles Fisher, Daphne Zuniga, Julie McNiven, ",614,Movie
A Christmas for the Books,Not Rated,90.0,5.2,"Comedy, Drama, Romance",2018.0,A relationship expert is tasked with planning a Christmas gala in the hopes of landing her own TV show.,Letia Clouston,"Chelsea Kane, Drew Seeley, Chad Connell, Gary Brennan, ","1,027",Movie
Christmas All Over Again,PG,78.0,3.7,"Comedy, Family",2016.0,"A mischievous, swag-obsessed boy must overcome his inner Scrooge, or remain caught in a cycle where everyday is a Christmas without presents.",Christy Carlson Romano,"Sean Ryan Fox, Armani Jackson, Christy Carlson Romano, Amber Frank, ",314,Movie
Jingle Around the Clock,TV-G,90.0,6.5,"Comedy, Romance",2018.0,"Elle's plans for Christmas reunion are thwarted by work. In order to get a career-altering promotion she's forced to team up with advertising campaign 'fixer' Max, who has a completely different take on the Holidays.",Paul Ziller,"Brooke Nevin, Michael Cassidy, Jeremy Guilbaut, Andrea Brooks, ","1,528",Movie
Homemade Christmas,TV-PG,85.0,5.8,"Comedy, Drama, Romance",2020.0,"Megan uses the weeks leading up to every Christmas to help around with any Christmas-related tasks. When the opportunity arrives to save a Christmas party and dazzle her crush, she must choose between the man of her dreams and Mr. Right.",Adrian Langley,"Michelle Argyris, Travis Nelson, Marcello Di Fruscia, Tiara Johnny, ",706,Movie
The Christmas Temp,TV-PG,87.0,5.5,"Comedy, Romance",2019.0,"An out-of-work artist discovers a special Christmas temp agency that matches her with a handful of festive jobs, but falls into a creative rut while juggling holiday preparations and feelings for the agency's HR manager.",Bill Corcoran,"Sara Canning, Robin Dunne, Farrah Aviva, Julian Richings, ",471,Movie
Christmas on Repeat,Not Rated,89.0,5.3,"Comedy, Drama, Romance",2022.0,"An ad executive gets more than she bargained for when Santa grants her wish for a Christmas do-over, and she realizes she's been missing precious time with her family.",Lindsay Hartley,"Jennifer Taylor, Gary Poux, Matthew Lawrence, Julia Terranova, ",219,Movie
Christmas Harmony,TV-PG,85.0,6.3,"Comedy, Drama, Music",2018.0,"A successful songwriter returns to her small hometown to rediscover music, family bonds and the magic of the Christmas season.",Nanea Miyata,"Kelley Jakle, Adam Mayfield, Peter Porte, Aden Schwartz, ",766,Movie
Christmas Belles,TV-14,85.0,6.1,Comedy,2019.0,"Despite being successful in their careers, two 30-something BFFs never stop hearing that they both need a man before it's too late. When a handsome pastor arrives just in time to kick off ...                See full summary »",Terri J. Vaughn,"Raven Goodwin, DomiNque Perry, Omar Gooding, Mark Taylor, ",170,Movie
Sound of Christmas,TV-G,84.0,6.5,"Drama, Music, Romance",2016.0,A piano teacher falls for a widower who's responsible for the impending closure of her music school.,Harvey Crossland,"Lindy Booth, Robin Dunne, Micah Kalisch, Kim Roberts, ","1,203",Movie
Snow 2: Brain Freeze,Not Rated,84.0,6.0,"Family, Fantasy",2008.0,"It's three days before Christmas, and Nick Snowden forgets about spending early Christmas with his wife, Sandy due to pressure at work. After a fight, Nick walks through a magical mirror ...                See full summary »",Mark Rosman,"Tom Cavanagh, Ashley Williams, Lynley Hall, Janelle Cooper, ","1,154",Movie
Best Christmas Party Ever,TV-G,84.0,6.3,"Comedy, Drama, Romance",2014.0,A party planner is tasked with mentoring her boss's nephew who is set to take over the business.,John Bradshaw,"Torrey DeVitto, Steve Lund, Linda Thorson, Kalinka Petrie, ","2,048",Movie
Christmas Lucky Charm,Not Rated,90.0,5.5,"Comedy, Romance",2022.0,"Jessica becomes a good luck charm when each of her ex-boyfriends finds his perfect match and is married by Christmas. Despite swearing off of dating, it takes a handsome artist and gallery owner to make her believe in love again.",Amy Force,"Sugenja Sri, Adrian Spencer, Alanna LeVierge, Ish Morris, ",183,Movie
All I Want Is Christmas,TV-PG,100.0,5.4,"Comedy, Family",2012.0,"A Christmas obsessed Jewish boy on his way to sunny Florida figures out how to get the Christmas of his dreams by trading airline tickets and places with another boy on his way to snowy Christmastown, WA.",Sue Corcoran,"Elliott Gould, David DeLuise, Elijah Nelson, Justin Thomas Howell, ",592,Movie
The Christmas Dance,Not Rated,94.0,4.6,"Drama, Family, Romance",2021.0,"Traumatized by her past, Christmas is not at the top of Sarah's list this time of year. However, waltzing through life's unexpected emergencies, she is taught the Christmas Dance.",Michael Arcell,"Brady Amaya, Richard Karn, Katherine Kelly Lang, Noah Nelson, ",283,Movie
A Twist of Christmas,TV-PG,87.0,6.4,"Family, Romance",2018.0,"In the shopping frenzy before Christmas at a busy department store, two single parents are each left with the wrong gifts for their respective children after their bags get accidentally switched.",David Winning,"Vanessa Lachey, Brendon Zub, Rick Fox, Christian Convery, ",980,Movie
Christmas Hotel,TV-G,88.0,6.0,"Comedy, Drama, Romance",2019.0,"A big city hotel manager learns that her hopes for a promotion are based on a return to her hometown to restructure a local establishment, which the townspeople are less than thrilled about.",Marla Sokoloff,"Tatyana Ali, Sean Patrick Thomas, Sheryl Lee Ralph, Erika Walter, ",516,Movie
Love Affair,Approved,88.0,7.3,"Comedy, Drama, Romance",1939.0,A French playboy and an American former nightclub singer fall in love aboard a ship.,Leo McCarey,"Irene Dunne, Charles Boyer, Maria Ouspenskaya, Lee Bowman, ","6,198",Movie
Christmas Ransom,Not Rated,84.0,4.7,"Adventure, Comedy, Family",2022.0,"When a pair of bumbling crooks hijack the Harrington and Sons toy store, a pair of kids stumble into the heist and are forced to team up with a female security officer to save Christmas.",Adele Vuko,"Miranda Tapsell, Matt Okine, Geneviève Lemon, Bridie McKim, ",264,Movie
A Fairly Odd Christmas,Approved,68.0,4.3,"Comedy, Family, Fantasy",2012.0,"Timmy Turner been going overboard with his wish granting, and now that Christmas is just around the corner, there's almost nothing left for Santa to do! Now it's up to Timmy to save ...                See full summary »",Savage Steve Holland,"Drake Bell, Daniella Monet, David James Lewis, Daran Norris, ","1,025",Movie
A Miracle on Christmas Lake,Not Rated,110.0,4.4,"Family, Mystery, Sport",2016.0,"After the loss of his best friend on Christmas Eve, Bobby goes out onto the lake and makes a shocking discovery. When the land is bought, Bobby must rally the town to save it.",John Kissack,"Kristian Wang, Anne Hawthorne, Jayson Therrien, Siobhan Williams, ",290,Movie
A Gingerbread Romance,TV-PG,90.0,5.5,"Drama, Family, Romance",2018.0,"With Christmas just weeks away, the architecture firm Taylor works for enters her in a contest in which the teams will design and build life-sized gingerbread houses. After the contest, ...                See full summary »",Richard Gabai,"Tia Mowry, Duane Henry, Jordana Lajoie, Giles Panton, ",940,Movie
Staging Christmas,TV-G,85.0,5.5,"Drama, Family, Romance",2019.0,A home stager looking to land a promotion offers to plan the company Christmas party in order to sway the boss' decision her way.,Amy Barrett,"Soleil Moon Frye, George Stults, Jaleel White, Mia Clark, ",564,Movie
The Cheaters,Passed,87.0,6.8,"Comedy, Drama, Romance",1945.0,"An eccentric wealthy family facing bankruptcy schemes to steal an inheritance, but an alcoholic ex-actor they take in for Christmas charity complicates their plan.",Joseph Kane,"Joseph Schildkraut, Billie Burke, Eugene Pallette, Ona Munson, ",826,Movie
Christmas in Canaan,TV-PG,96.0,6.9,"Drama, Family",2009.0,"DJ and Rodney don't like each other from the start; Rodney thinks DJ is an ignorant white farm boy, and DJ thinks Rodney acts too smart for his own good. After a school-bus scuffle between ...                See full summary »",Neill Fearnley,"Billy Ray Cyrus, Tom Heaton, Jaishon Fisher, Zak Ludwig, ",628,Movie
Christmas at the Greenbrier,Not Rated,90.0,7.4,"Comedy, Drama, Romance",2022.0,"Alicia Leigh Willis (""General Hospital"") plays widowed mother Abby, while Josh Murray plays Ben, a former professional football player. The two dated previously but ended their relationship...                See full summary »",Steven Daniels,"Alicia Leigh Willis, Josh Murray, Barbara Zablocky, Teresa Ambler, ",64,Movie
I'm Not Ready for Christmas,TV-G,84.0,6.0,"Comedy, Drama, Family",2015.0,"Holly's world is turned upside down when her niece's wish to Santa Claus comes true and she cannot tell a lie. As her career and love life go into disarray, she must learn to judge between the truth and what is right.",Sam Irvin,"Alicia Witt, George Stults, Brigid Brannagh, Mia Bagley, ","2,132",Movie
The Borrowed Christmas,Not Rated,95.0,4.1,"Drama, Family",2014.0,"""The Borrowed Christmas"" is the new family movie by Rossetti Productions. John Dale has everything. Money, notoriety, the biggest house in town. But what he really wants, is a good, old ...                See full summary »",Chip Rossetti,"Sherry Morris, Jeff Rose, Craig Bryant Belwood, Diana Schmitt, ",204,Movie
Every Day Is Christmas,TV-PG,85.0,5.9,"Drama, Fantasy, Romance",2018.0,"Ruthless businesswoman Alexis is visited by her deceased mother in a reimagining of ""A Christmas Carol"".",David Weaver,"Toni Braxton, Gloria Reuben, Michael Jai White, Andrew Airlie, ",567,Movie
Candy Cane Candidate,Not Rated,88.0,5.4,"Comedy, Romance",2021.0,"After her political campaign for city council ends in a landslide loss, Julia returns to her hometown for Christmas to drown her sorrows.",Pat Kiely,"Jacky Lai, Jake Epstein, Edwina Renout, Henry Kwok, ",430,Movie
Gift of the Magi,Not Rated,85.0,5.4,"Drama, Romance",2010.0,"Newlywed true lovers Jim and Della Young can barely afford moving into to their new apartment, especially when the second-hand car breaks down. They agree not to buy Chrismas presents that ...                See full summary »",Lisa Mulcahy,"Marla Sokoloff, Mark Webber, Michelle Beamish, Glynis Casson, ",547,Movie
Christmas Trade,Not Rated,99.0,5.0,"Comedy, Family",2015.0,"A week before Christmas, a workaholic widower and his 11-year-old son get a shock when their wish unexpectedly comes true.",Joel Souza,"William Baldwin, Denise Richards, Michael Campion, Tom Arnold, ",590,Movie
48 Christmas Wishes,TV-G,84.0,3.9,"Animation, Adventure, Comedy",2017.0,"For the first time ever, two junior Elves have to leave home after losing an entire town's letters to Santa. While attempting to blend into small town life, they set out to retrieve every missing wish before Christmas Eve.",Marco Deufemia,"Justin G. Dyck, Madeline Leon, Liam MacDonald, Clara Kushnir, Ethan Yang, ","1,242",Movie
Christmas Coupon,Not Rated,92.0,3.4,"Comedy, Family, Romance",2019.0,Alison Grant begins teaching ice skating students on a friend's frozen pond after being fired from her rink job. On the first day of class her old high school sweetheart and now famous ...                See full summary »,Daniel Knudsen,"Courtney Mathews, Aaron Noble, Robert Laenen, Sheena Monnin, ",254,Movie
A Christmas Carol,Not Rated,82.0,3.6,"Drama, Fantasy",2012.0,"On the anniversary of Jacob Marley's death, his business partner Ebenezer Scrooge finds unwelcome company in the form of three spirits from Christmases Past, Present and Yet to Come. If he ...                See full summary »",Jason Figgis,"Karl Argue, Lara Belmont, David Browne, Kathryn Browne, ",207,Movie
Undercover Christmas,Not Rated,87.0,6.3,"Comedy, Drama, Romance",2003.0,An FBI agent is assigned as the protective custodian of a straight-talking cocktail waitress after she agrees to testify against her tax cheat boyfriend.,Nadia Tass,"Jami Gertz, Shawn Christian, Tyne Daly, Winston Rekert, ",992,Movie
A Doggone Christmas,Not Rated,82.0,4.2,Family,2016.0,"When the CIA discovers a cute orphan puppy with amazing telepathic abilities, the powers-that-be in Washington immediately lock him down and plan on forcing the poor dog to become a covert ...                See full summary »",Jim Wynorski,"Jaret Sacrey, Zachary Cirino, Dominique Swain, Jesse the Jack Russell Terrier, ",230,Movie
Middleton Christmas,Not Rated,92.0,5.5,Romance,2020.0,"In a small town, high-school dean Alana and her vivacious teenage daughter Samantha plan a holiday concert to save the school with the help of the new maintenance man, Army veteran Johnny, ...                See full summary »",Dale Fabrigar,"Nancy Valen, Eileen Davidson, Michael Paré, Anzu Lawson, ",286,Movie
A Cheerful Christmas,TV-G,83.0,4.9,"Drama, Romance",2019.0,A woman and her best friend think they landed the job of their dreams by giving people a great Christmas until they get a client who doesn't feel the same way.,Marita Grabiak,"Erica Deutschman, Chad Connell, Jennifer Vallance, Tianna Nori, ","1,098",Movie
Ms  Scrooge,G,87.0,5.4,"Drama, Fantasy",1997.0,"A retelling of Charles Dickens' ""A Christmas Carol.""",John Korty,"Cicely Tyson, Katherine Helmond, Michael Beach, John Bourgeois, ",452,Movie
Wish Upon a Christmas,PG-13,86.0,5.8,"Drama, Fantasy, Romance",2015.0,A corporate actuary returns to her hometown to shut down a factory; the owner is her former high-school sweetheart--who thinks she has come to save it. Could a little Christmas magic save the day?,Terry Ingram,"Larisa Oleynik, Aaron Ashmore, Linda Darlow, Kevin McNulty, ",783,Movie
The Christmas Pageant,TV-G,87.0,5.5,"Comedy, Romance",2011.0,"When a temperamental Broadway director is fired from yet another job, she is forced to direct a community Christmas pageant.",David S. Cass Sr.,"Melissa Gilbert, Robert Mailhouse, Candice Azzara, Edward Herrmann, ",601,Movie
Rediscovering Christmas,TV-G,87.0,5.8,"Comedy, Drama, Romance",2019.0,Sparks fly when a Boston department store window designer travels to her family's Connecticut town to help design its annual Snowflake Festival Christmas Eve dance and must work with the festival founders' stubborn but devoted grandson.,Colin Theys,"Jessica Lowndes, B.J. Britt, Justine Cotsonas, David Naughton, ",475,Movie
A Christmas Eve Miracle,Not Rated,80.0,3.7,"Comedy, Family",2015.0,"After wondering what her life would be without children, workaholic Sharon is unexpectedly granted her wish while on Christmas vacation.",R. Michael Givens,"Olivia d'Abo, Anthony Starke, Josh Reid, Dina De Laurentiis, ",352,Movie
Holiday Joy,PG,87.0,5.4,"Comedy, Fantasy",2016.0,A shy high school student's Christmas wish comes true only it isn't exactly as wonderful as she'd hoped.,Kirk D'Amico,"Bailee Madison, Jennifer Robertson, Sandy Jobin-Bevans, French Stewart, ","1,020",Movie
Christmas with a Capital C,Not Rated,81.0,4.3,"Comedy, Drama, Family",2011.0,An attorney returns to his small home town in Alaska and quickly rocks the boat by getting an injunction against the nativity display tradition and attacking Christmas.,Helmut Schleppi,"Ted McGinley, Brad Stine, Nancy Stafford, Daniel Baldwin, ","1,113",Movie
Cover Up,TV-14,83.0,6.6,"Film-Noir, Mystery",1949.0,"An insurance company investigator goes to a small town to probe into a case of supposed suicide. The natives are not very cooperative and some turn hostile, leading to suspicion of foul play.",Alfred E. Green,"William Bendix, Dennis O'Keefe, Barbara Britton, Art Baker, ","1,259",Movie
Christmas Perfection,TV-PG,90.0,5.5,"Comedy, Drama, Fantasy",2018.0,"Darcy's been striving for the perfect Christmas since childhood and, thanks to a magical figurine, her dream finally comes true.",David Jackson,"Caitlin Thompson, James Henri-Thomas, Robbie Silverman, Rachel-Mae Brady, ","1,020",Movie
Stealing Christmas,TV-PG,89.0,5.7,"Comedy, Crime, Drama",2003.0,"A small-time crook intent on robbing a department store is mistaken as a Santa for-hire. At first, he decides to play along, but he gets caught up in the holiday spirit, and begins to have second thoughts about ""Stealing Christmas"".",Gregg Champion,"Tony Danza, Lea Thompson, Angela Goethals, Betty White, ",979,Movie
The Christmas Carol,Not Rated,25.0,6.0,"Drama, Fantasy",1949.0,Dickens' classic tale of Ebenezer Scrooge and three Christmas Ghosts that change his perception of life. Narrated by Vincent Price.,Arthur Pierson,"Vincent Price, Taylor Holmes, Patrick Whyte, Robert Clarke, ",421,Movie
The Man Who Saved Christmas,TV-PG,100.0,6.5,"Biography, Drama, Family",2002.0,A.C. Gilbert figures out a way to keep Christmas alive after the war threatens to take it away in his name.,Sturla Gunnarsson,"Jason Alexander, Kelly Rowan, Ari Cohen, C. David Johnson, ",553,Movie
Christmas Encore,TV-G,83.0,5.7,"Drama, Romance",2017.0,A struggling actress auditions for the lead role in a theater production of 'A Christmas Carol'.,Bradley Walsh,"Maggie Lawson, Brennan Elliott, Art Hindle, Tracey Hoyt, ","1,375",Movie
Let's Meet Again on Christmas Eve,TV-PG,87.0,5.8,"Drama, Romance",2020.0,Two college sweethearts reconnect while coordinating a wedding just in time for the holidays.,Jeff Beesley,"Kyla Pratt, Brooks Darnell, Nancy Sorel, Paul Essiembre, ",415,Movie
Soul Santa,Not Rated,No data,7.2,"Comedy, Romance",2021.0,A shopping mall Santa Claus is the disguise of a businessman that got into trouble with mob's money.,Terri J. Vaughn,"David Mann, Tamela J. Mann, Brooke Monroe Conaway, Christopher Gurr, ",124,Movie
Placido,Not Rated,85.0,7.8,"Comedy, Drama",1961.0,"In a small Spanish town, a group of old ladies decides to celebrate Christmas Eve with a ""seat a poor man at your table"" dinner: each wealthy household of the town will have a homeless ...                See full summary »",Luis García Berlanga,"Cassen, José Luis López Vázquez, Elvira Quintillá, Manuel Alexandre, ","3,656",Movie
3 Holiday Tails,TV-PG,88.0,5.6,"Comedy, Family, Romance",2011.0,"Old flames reunite and sparks are reignited at Christmastime in Florida, but the man is already engaged to another woman so a recently retired couple try to intervene with the help of their dogs.",Joe Menendez,"Alley Mills, Julie Gonzalo, K.C. Clyde, Bruce Davison, ",833,Movie
A Sisterly Christmas,TV-PG,83.0,5.6,"Drama, Romance",2021.0,"Two sisters receive an early Christmas gift, an inheritance that takes them on a luxury holiday vacation. They run into their childhood rival, who digs in on these sisters, testing their resolve as women and their bonds of sisterhood.",Jerry LaMothe,"Deborah Joy Winans, Kendrick Cross, Lisa Michelle Cornelius, Kyana Teresa, ",182,Movie
Lady on a Train,Passed,94.0,6.7,"Comedy, Crime, Film-Noir",1945.0,"In New York, a woman who partially witnesses a killing from a train window seeks the aid of a crime novelist to solve the murder.",Charles David,"Deanna Durbin, Ralph Bellamy, David Bruce, George Coulouris, ","2,516",Movie
The Great Holiday Bake War,TV-PG,84.0,6.1,"Comedy, Drama, Romance",2022.0,"Julian and Brianna, old rivals from baking school meet again in a TV competition having separate plans on how to win they will learn that by working together they can create a new recipe for success and love.",Lisa France,"LeToya Luckett, Colton Royce, Julia Dyan, Finesse Mitchell, ",118,Movie
Forgotten Christmas,Not Rated,70.0,5.9,"Drama, Family, Fantasy",2019.0,"The story of a tiny village like any other, except that these villagers tend to be so forgetful, over and over. This year they are forgetting that it's time for Christmas.",Andrea Eckerbom,"Miriam Kolstad Strand, Trond Espen Seim, Anders Baasmo, Christian Skolmen, ",433,Movie
A Golden Christmas 3,Not Rated,88.0,5.6,"Comedy, Family, Romance",2012.0,"Heather is a charming, free spirit, and Bobby is a naval officer home from serving overseas. Thanks to a fun-filled theater production of ""A Christmas Carol,"" these two unlucky-in-love childhood friends may fall in love.",Michael Feifer,"Shantel VanSanten, Rob Mayes, Orson Bean, Nikki Deloach, ",884,Movie
A Belle for Christmas,PG,91.0,4.7,"Comedy, Drama, Family",2014.0,"When a sweet young boy and his precocious sister discover their newly adopted puppy Belle has been nabbed by the beautiful gold digger, the kids recruit their neighborhood friends and set out on an adventurous rescue mission to save her.",Jason Dallas,"Dean Cain, Kristy Swanson, Jet Jurgensmeyer, Haylie Duff, ",558,Movie
The Night Before the Night Before Christmas,TV-PG,88.0,5.6,"Family, Fantasy",2010.0,"When Santa sets off on his Christmas duties a day early, crashes into the Fox family's house, ends up with amnesia, and loses his magic sack of presents, he needs help. But the Foxes are a ...                See full summary »",James Orr,"Jennifer Beals, Rick Roberts, R.D. Reid, Jordan Prentice, ",726,Movie
Cupid for Christmas,PG,87.0,5.6,"Comedy, Fantasy, Romance",2021.0,"Hoping to land a promotion and become the new Cupid, his hapless apprentice, Ruby, is tasked with finding the perfect match for their most hopeless case yet.",Blayne Weaver,"Melanie Stone, Ryan Carnes, Natasha Behnam, Cocoa Brown, ",238,Movie
My Sweet Holiday,Not Rated,84.0,5.4,"Drama, Romance",2020.0,"Sadie returns home for Christmas after her boyfriend cancels their Holiday plans, only to find out her parents have sold the family business. Begrudgingly Sadie agrees to teach the new ...                See full summary »",Sandra L. Martin,"Malone Thomas, Jason Burkey, Remi Hilson, George Cron, ",611,Movie
Always and Forever Christmas,TV-G,87.0,5.4,"Comedy, Drama, Family",2019.0,A marketing executive makes a trip back home to sell the Christmas gift shop she inherited from her grandfather.,Siobhan Devine,"Lexi Lawson, Mark Ghanimé, Beth Broderick, Cardi Wong, ",539,Movie
A Sweet Christmas Romance,TV-G,87.0,6.2,"Comedy, Drama, Romance",2019.0,"When a food stylist finds out the owner of her favorite bakery is retiring and sponsoring a baking contest to see who will be her successor, she enters but then is forced to join forces with a rival chef to try and win.",Michael Robison,"Adelaide Kane, Greyston Holt, Loretta Devine, Hamza Fouad, ",805,Movie
The Dog Who Saved Christmas Vacation,PG,89.0,3.7,"Comedy, Family",2010.0,"The Bannister family - including former K-9 police hero Zeus (voiced by Mario López) - is back, and this time they're spending their holidays at a beautiful Rocky Mountain resort.",Michael Feifer,"Mario Lopez, Dean Cain, Paris Hilton, Gary Valentine, ",469,Movie
Christmas at the Chateau,TV-PG,98.0,3.8,"Comedy, Drama, Romance",2019.0,"How will 3 sisters save the Shakespeare Chateau, historic mansion and beloved family home, from a corrupt bank that threatens to foreclose on Christmas Day?",Jason Hudson,"Kinsey Leigh Redmond, Justen Jones, Jeffrey Staab, Sarah McGuire, ",346,Movie
Country Roads Christmas,Not Rated,85.0,6.2,"Comedy, Drama, Romance",2022.0,"When the daughter of a country singer loses her job at a record label, she goes off to become her estranged father's manager and finds love along the way.",Marco Deufemia,"Lanie McAuley, Bo Yokely, Bailey Chase, Roy Lewis, ",58,Movie
Christmas Is Here Again,G,74.0,5.1,"Animation, Adventure, Comedy",2007.0,"When the evil Krad steals Santa's toy bag he crushes the holiday spirit- and the world's children forget about Christmas. Now, an orphan and her friends embark on a polar adventure to try to stop Krad from destroying Christmas.",Robert Zappia,"Darrell Van Citters, Jay Leno, Edward Asner, Kathy Bates, Madison Davenport, ",373,Movie
A Christmas Duet,Not Rated,84.0,5.9,"Drama, Music, Romance",2019.0,"During the chaos of planning a Christmas festival and vying for the Top Winter Lodge Award, an innkeeper rekindles her love of music as well as her love for her former music partner.",Catherine Cyran,"Chaley Rose, Rome Flynn, Chiara Zanni, Lane Edwards, ",818,Movie
The Truth About Christmas,TV-14,90.0,5.6,"Comedy, Drama, Romance",2018.0,"Jillian, a spin doctor for her councilman boyfriend, George, is not above lying to a little girl to achieve her goals, especially as she's about to meet George's family, so Santa decides to teach her a lesson.",Jaime Eliezer Karas,"Kali Hawk, Damon Dayoub, Ali Ghandour, Michela Cannon, ",655,Movie
All I Want for Christmas,PG,86.0,5.8,Family,2022.0,"A young girl's Christmas wish for her divorced parents to get back together becomes a reality with a twist of holiday joy, comedy, and laughter.",Armani Martin,"Patricia Mizen, Sarah Mae Agnew, Queen Ajima, Cecil, ",47,Movie
The Dog Who Saved the Holidays,PG,83.0,4.5,"Comedy, Family",2012.0,"The Bannisters are back with a new family addition - a mischievous pup named Eve. Watch as everyone's favorite dog, Zeus, learns to love his new sister and take down some bumbling thieves.",Michael Feifer,"Joey Lawrence, Peyton List, Gary Valentine, Elisa Donovan, ",312,Movie
The Santa Incident,Not Rated,88.0,4.8,"Comedy, Family",2010.0,"After his sleigh is shot down while flying through restricted military airspace, an earthbound Santa is sought for questioning by a pair of overzealous Homeland Security agents. The fate of...                See full summary »",Yelena Lanskaya,"Ali Lyons, Scott Graham, James Cosmo, Ione Skye, ",426,Movie
Christmas Holidate,Not Rated,84.0,3.0,"Comedy, Drama, Romance",2023.0,"When single businesswoman Holly Harper uses her company's unreleased dating app to ease family tension during the holidays, a glitch in the app causes more than one date to arrive.",Gregory Alan Williams,"Jasmine Burke, Gregory Alan Williams, DeAnna Yarbough, Natalie W. Baker, ",19,Movie
All I Didn't Want for Christmas,Not Rated,89.0,6.0,"Comedy, Romance",2022.0,"Emily Harris is not doing great. In a desperate attempt to improve her life and make this Christmas not totally suck, Emily writes a letter to Santa. Fortunately, and unfortunately, her wine-soaked wishes start coming true.",Brittany Scott Smith,"Gabourey Sidibe, Loretta Devine, Kel Mitchell, Andrew Bushell, ",222,Movie
Holiday Heist,TV-PG,87.0,5.7,"Crime, Drama, Romance",2019.0,A man released from prison is torn between a life of crime and a fresh start with a woman he meets while scoping out a potential heist,Roger M. Bobb,"Chaley Rose, Tobias Truvillion, Phillip Edward Van Lear, Lucien Cambric, ",161,Movie
Santa Swap: Merry Christmas Mr  Andersen,Not Rated,70.0,6.3,"Adventure, Comedy, Family",2016.0,Alf Prøysen's classic tale tells the story of the Christmas-loving carpenter struggling to make his three children believe in Santa Claus. He swaps places with him on Christmas Eve to create a Christmas like no other.,Terje Rangnes,"Trond Espen Seim, Anders Baasmo, Ingeborg Raustøl, Johanna Mørck, ",834,Movie
Entertaining Christmas,TV-G,85.0,6.1,"Comedy, Romance",2018.0,Candace has never lived up to her mom's standards. She's sent in her place to plan a Christmas party.,Robin Dunne,"Jodie Sweetin, Brendan Fehr, Jane Moffat, Ana Araujo, ","1,141",Movie
The Christmas Edition,TV-PG,88.0,6.1,"Drama, Romance",2020.0,"At Christmastime, up-and-coming journalist Jackie's life is at crossroads until she finds an unexpected opportunity to run a newspaper in small-town Alaska. She decides to try it and ...                See full summary »",Peter Sullivan,"Carly Hughes, Rob Mayes, Marie Osmond, Aloma Wright, ",698,Movie
Magical Christmas Shoes,TV-G,87.0,6.3,"Comedy, Romance",2019.0,"A pair of magical shoes step into Noelle's holiday season, allowing her to rediscover her Christmas spirit and find love too.",Robin Dunne,"Erin Karpluk, Damon Runyan, Genelle Williams, Drew Nelson, ",623,Movie
Mariah Carey's Magical Christmas Special,TV-G,43.0,5.8,"Adventure, Family, Fantasy",2020.0,"When the world is faced with a holiday cheer crisis, the North Pole knows only one person who can solve it: Santa's great friend, Mariah Carey.",Roman Coppola,"Hamish Hamilton, Mariah Carey, Monroe Cannon, Moroccan Cannon, Misty Copeland, ","1,476",Movie
Holiday Hideaway,TV-14,96.0,8.3,"Family, Romance",2022.0,"Carly Stewart is the queen of holiday celebrations, but her mistletoe misstep sends her running to a Holiday Hideaway that teaches her the importance of family, forgiveness, and fighting for love.",Cole Patterson,"Lamese Williams, Vivica A. Fox, Camille Winbush, Ella Joyce, Reginald C. Hayes, ",48,Movie
Christmas in Wolf Creek,TV-G,86.0,4.7,"Comedy, Drama, Romance",2022.0,"A woman and her boyfriend struggle to maintain their relationship, and when a reindeer threatens the annual Christmas play, the couple must work together to save Christmas for the town.",Marco Deufemia,"Tim Rozon, Nola Martin, Art Hindle, Madeline Leon, ",60,Movie
Christmas on Wheels,TV-PG,86.0,5.8,Romance,2020.0,"Upon learning that her uncle sold her mom's vintage convertible, a car full of Christmas memories, Ashley enlists the help of her uncle's attorney Duncan to get it back.",Marita Grabiak,"Tiya Sircar, Lara Amersey, Serena Arella, Jennifer Austin, ",459,Movie
The Christmas Clapback,Not Rated,79.0,7.2,Comedy,2022.0,"Every year, three sisters battle one another for a chance to win the Christmas cook-off competition. However, when a vivacious social-media influencer enters the competition, the sisters must choose to rise together or fall divided.",Robin Givens,"Nadine Ellis, Porscha Coleman, Candace Maxwell, Kara Royster, ",73,Movie
Wish for Christmas,PG,96.0,4.9,"Drama, Family",2016.0,A high-school student makes a wish that her parents would lose their faith.,John K.D. Graham,"Joey Lawrence, Leigh-Allyn Baker, Anna Fricks, Bill Engvall, ",962,Movie
