TITLE,RATING,RUNTIME,IMDB_RATING,GENRE,RELEASE_YEAR,DESCRIPTION,DIRECTOR,STARS,VOTES,TYPE
Time for Her to Come Home for Christmas,TV-G,84.0,6.6,"Drama, Romance",2023.0,"Carly heads to a small town to lead a church choir at Christmastime, facing her first holiday season without her mother. While there, she connects with a man back in town after serving in the Army.",Ali Liebert,"Shenae Grimes-Beech, Chris Carmack, Grace Leer, Brian Markinson, ",502,Movie
Silver Linings Playbook,R,122.0,7.7,"Comedy, Drama, Romance",2012.0,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, ","734,121",Movie
Bad Santa 2,R,92.0,5.6,"Comedy, Crime, Drama",2016.0,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",Mark Waters,"Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks, ","27,915",Movie
Scrooge,G,113.0,7.5,"Drama, Family, Fantasy",1970.0,"A musical retelling of Charles Dickens' classic novel about an old bitter miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Ronald Neame,"Albert Finney, Alec Guinness, Edith Evans, Kenneth More, ","12,188",Movie
Home for Christmas,TV-MA,29.0,7.7,"Comedy, Drama, Romance",2019.0,"When the constant comments on her single status and society's expectations of the perfect family Christmas finally get to 30-year-old Johanne, she starts a 24-day hunt for a partner to bring home for Christmas.",Ida Elise Broch,"Dennis Storhøi, Oddgeir Thune, Hege Schøyen, ","16,410",Movie
Rise of the Guardians,PG,97.0,7.2,"Animation, Action, Adventure",2012.0,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine, ","189,439",Movie
The Shop Around the Corner,Not Rated,99.0,8.0,"Comedy, Drama, Romance",1940.0,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut, ","37,205",Movie
B&B Merry,Not Rated,85.0,5.8,"Comedy, Romance",2022.0,"Tracey, a travel blogger, is invited by Graham to a Christmas getaway at his family's small bed and breakfast. It is facing tough competition from a hotel resort that has been stealing guests, threatening survival of the family business.",Paula Elle,"Jen Lilley, Jesse Hutch, Kate Twa, ShellyLyn Williams, ","1,499",Movie
Remember the Night,Passed,94.0,7.6,"Comedy, Drama, Romance",1939.0,Love blooms between a sympathetic attorney and the comely shoplifter he has taken home for the Christmas holiday.,Mitchell Leisen,"Barbara Stanwyck, Fred MacMurray, Beulah Bondi, Elizabeth Patterson, ","6,866",Movie
I'll Be Home for Christmas,PG,86.0,5.5,"Comedy, Family",1998.0,"A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.",Arlene Sanford,"Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna, Gary Cole, ","11,671",Movie
Haul out the Holly: Lit Up,TV-G,84.0,5.7,"Comedy, Romance",2023.0,"As the holidays approach, Emily and Jared are looking forward to celebrating the holidays together again.",Maclain Nelson,"Lacey Chabert, Wes Brown, Stephen Tobolowsky, Melissa Peterman, ",818,Movie
Jingle Jangle: A Christmas Journey,PG,122.0,6.4,"Family, Fantasy, Musical",2020.0,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, ","20,265",Movie
Dash & Lily,TV-14,No data,7.5,"Comedy, Drama, Romance",2020.0,"A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations all across New York City.",Midori Francis,"Austin Abrams, Dante Brown, Troy Iwata, ","22,518",Movie
The Christmas Train,TV-G,99.0,6.4,"Drama, Romance",2017.0,"A cynical journalist decides to take a train from Washington, D.C. to Los Angeles for Christmas to get inspiration for a story in honor of his late father. He gets to know the other passengers and runs into an old flame while aboard.",Ron Oliver,"Dermot Mulroney, Kimberly Williams-Paisley, Danny Glover, Joan Cusack, ","3,396",Movie
I'm Glad It's Christmas,Not Rated,85.0,6.0,"Comedy, Drama, Family",2022.0,"Cora does everything to bring together Holly, a salesclerk who dreams of performing on Broadway, and Jason, a jingle writer and single father, for the town's holiday concert.",Ernie Barbarash,"Jessica Lowndes, Paul Greene, Gladys Knight, Sierra Wooldridge, ","1,054",Movie
